stream_name,stream,district_name,district,o_zscore,zscore,course_name,course,university_name,university
Biological Science,1,Galle,7,0.6488,6488,Agriculture ,1,Wayamba University of Sri Lanka,5
Biological Science,1,Galle,7,0.8821,8821,Applied Science (Bio. Sci.),2,Rajarata University of Sri Lanka,3
Biological Science,1,Galle,7,0.9524,9524,Applied Science (Bio. Sci.),2,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Galle,7,-100,-1000000,Applied Science (Bio. Sci.),2,"University of Vavuniya , Sri Lanka",6
Biological Science,1,Galle,7,1.6182,16182,Biological Science,3,University of Colombo,7
Biological Science,1,Galle,7,1.481,14810,Biological Science,3,University of Peradeniya,8
Biological Science,1,Galle,7,1.3421,13421,Biological Science,3,University of Sri Jeyawardanapura,9
Biological Science,1,Galle,7,1.2611,12611,Biological Science,3,University of Kelaniya,10
Biological Science,1,Galle,7,1.0895,10895,Biological Science,3,University of Jaffna,1
Biological Science,1,Galle,7,1.1172,11172,Biological Science,3,University of Ruhuna,11
Biological Science,1,Galle,7,1.1021,11021,Biological Science,3,"Eastern University ,Sri Lanka",2
Biological Science,1,Galle,7,-100,-1000000,Biological Science,3,"South-Eastern University, Sri Lanka",12
Biological Science,1,Galle,7,1.5909,15909,Food Science & Technology,4,University of Peradeniya,8
Biological Science,1,Galle,7,1.5497,15497,Food Science & Technology,4,University of Sri Jeyawardanapura,9
Biological Science,1,Galle,7,1.5446,15446,Food Science & Technology,4,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Galle,7,1.2553,12553,Food Science & Nutrition,5,Wayamba University of Sri Lanka,5
Biological Science,1,Galle,7,1.3776,13776,Agricultural Technology & Management,6,University of Peradeniya,8
Biological Science,1,Galle,7,1.8109,18109,BioChemistry & Molecular Biology,7,University of Colombo,7
Biological Science,1,Galle,7,1.77,17700,Veterinary Science,8,University of Peradeniya,8
Biological Science,1,Galle,7,1.8577,18577,Dental Surgery,9,University of Peradeniya,8
Biological Science,1,Galle,7,1.852,18520,Dental Surgery,9,University of Sri Jeyawardanapura,9
Biological Science,1,Galle,7,2.3357,23357,Medicine,10,University of Colombo,7
Biological Science,1,Galle,7,2.1812,21812,Medicine,10,University of Peradeniya,8
Biological Science,1,Galle,7,2.1921,21921,Medicine,10,University of Sri Jeyawardanapura,9
Biological Science,1,Galle,7,2.0745,20745,Medicine,10,University of Kelaniya,10
Biological Science,1,Galle,7,2.0383,20383,Medicine,10,University of Jaffna,1
Biological Science,1,Galle,7,1.9683,19683,Medicine,10,University of Ruhuna,11
Biological Science,1,Galle,7,1.8991,18991,Medicine,10,University of Moratuwa,13
Biological Science,1,Galle,7,-100,-1000000,Medicine,10,"Eastern University ,Sri Lanka",2
Biological Science,1,Galle,7,1.9164,19164,Medicine,10,Rajarata University of Sri Lanka,3
Biological Science,1,Galle,7,1.8923,18923,Medicine,10,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Galle,7,1.893,18930,Medicine,10,Wayamba University of Sri Lanka,5
Biological Science,1,Matara,8,0.7699,7699,Agriculture ,1,University of Jaffna,1
Biological Science,1,Matara,8,0.723,7230,Agriculture ,1,"Eastern University ,Sri Lanka",2
Biological Science,1,Matara,8,0.7073,7073,Agriculture ,1,Rajarata University of Sri Lanka,3
Biological Science,1,Matara,8,0.7522,7522,Agriculture ,1,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Matara,8,0.7096,7096,Agriculture ,1,Wayamba University of Sri Lanka,5
Biological Science,1,Matara,8,0.9336,9336,Applied Science (Bio. Sci.),2,Rajarata University of Sri Lanka,3
Biological Science,1,Matara,8,0.9469,9469,Applied Science (Bio. Sci.),2,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Matara,8,-100,-1000000,Applied Science (Bio. Sci.),2,"University of Vavuniya , Sri Lanka",6
Biological Science,1,Matara,8,1.6143,16143,Biological Science,3,University of Colombo,7
Biological Science,1,Matara,8,1.4632,14632,Biological Science,3,University of Peradeniya,8
Biological Science,1,Matara,8,1.3388,13388,Biological Science,3,University of Sri Jeyawardanapura,9
Biological Science,1,Matara,8,1.2519,12519,Biological Science,3,University of Kelaniya,10
Biological Science,1,Matara,8,-100,-1000000,Biological Science,3,University of Jaffna,1
Biological Science,1,Matara,8,1.1377,11377,Biological Science,3,University of Ruhuna,11
Biological Science,1,Matara,8,-100,-1000000,Biological Science,3,"Eastern University ,Sri Lanka",2
Biological Science,1,Matara,8,-100,-1000000,Biological Science,3,"South-Eastern University, Sri Lanka",12
Biological Science,1,Matara,8,1.6169,16169,Food Science & Technology,4,University of Peradeniya,8
